colony,nest_no,workers,soldiers,ent_area_mm
C09-03,1,15,2,2.8
C09-03,2,32,14,5.4
C09-05,1,5,3,8.9
C09-05,2,61,8,15.8
C09-05,3,47,6,23.2
C09-10,1,56,3,2.7
C09-10,2,46,13,14.9
C09-10,3,132,27,6.2
C09-14,1,29,8,15.4
C09-14,2,23,2,4.4
C09-14,3,27,2,2.1
C09-14,4,21,3,6.3
C09-14,5,39,3,6.6
C09-14,6,15,1,14.7
C09-19,2,10,2,3.1
C09-19,5,65,11,5.7
C09-22,1,28,3,3.3
C09-22,2,63,12,3.9
C09-23,1,103,24,9.2
C09-23,2,29,13,39.7
C09-23,3,31,6,3.2
C09-23,5,55,7,4
C09-23,6,43,13,18.3
C09-25,1,15,4,3.5
C09-25,2,32,19,2.2
C09-25,3,8,2,3.7
C09-25,4,40,9,8.1
C09-25,5,55,21,21.7
C10-01,1,32,6,4.2
C10-01,2,24,3,6.2
C10-01,3,43,6,8
C10-03,1,149,19,5.3
C10-03,2,44,3,2.1
C10-10,1,40,4,4.9
C10-10,2,25,7,8.4
C10-13,1,29,7,8.2
C10-14,1,35,14,9.3
C10-14,2,17,10,5
C10-14,3,24,5,5.4
C10-15,1,18,5,12.4
C10-15,2,32,3,3
C10-16,1,23,6,2.2
C10-21,1,68,25,3.5
C10-21,2,20,15,3
C10-21,3,17,10,6.4
C10-21,4,44,13,15.1
C11-12,1,29,3,3
C11-15,1,43,6,13.7
C11-15,2,40,4,5.4
C11-15,3,68,3,14.6
C11-17,1,93,13,5.3
C11-17,2,37,7,6.3
C11-17,3,24,7,4.9
C11-18,1,110,18,5.3
C11-19,1,100,6,10.1
C11-19,2,90,14,18.4
C11-20,1,40,2,2.9
C11-20,2,54,6,3.1
C11-21,1,31,2,3.8
C11-21,2,53,13,5.6
C11-21,3,44,10,5.2
C11-23,1,21,2,7.1
C11-23,2,15,1,2.2
C11-23,3,57,14,7.6
C11-24,1,66,22,5
C11-24,2,144,10,30
C11-25,1,160,37,29.6
C11-25,2,30,2,6.5
C11-26,1,115,18,7.6
C11-26,2,62,4,3.4
C11-27,1,63,12,3
C11-27,2,31,6,7.9
C11-27,3,36,4,3.2
C11-27,4,54,9,2.9
C11-29,1,19,4,2.4
C11-29,2,29,3,3.6
C11-29,3,126,23,10.7
RO-10,1,14,1,2.5
RO-11,1,39,7,2.8
RO-11,2,34,9,3
RO-11,3,7,3,3.6
RO-11,4,38,16,5.5
RO-13,1,22,3,2.7
RO-13,2,42,11,3.2
