tree,entrance_size,nest_pop,week_death
Ex-01,B,B0,1
Ex-06,B,B0,1
Ex-17,B,B0,1
Ex-19,B,B0,1
Ex-27,B,B0,1
Ex-33,B,B0,1
Ex-41,B,B0,1
Ex-47,B,B0,1
Ex-54,B,B0,1
Ex-57,B,B0,1
Ex-62,B,B0,1
Ex-09,B,B1,1
Ex-10,B,B1,1
Ex-15,B,B1,1
Ex-20,B,B1,1
Ex-26,B,B1,1
Ex-36,B,B1,1
Ex-40,B,B1,1
Ex-44,B,B1,1
Ex-51,B,B1,1
Ex-56,B,B1,1
Ex-63,B,B1,1
Ex-03,B,B6,1
Ex-08,B,B6,2
Ex-11,B,B6,1
Ex-21,B,B6,1
Ex-29,B,B6,2
Ex-31,B,B6,1
Ex-39,B,B6,1
Ex-48,B,B6,1
Ex-52,B,B6,1
Ex-60,B,B6,1
Ex-61,B,B6,1
Ex-02,S,S0,3
Ex-07,S,S0,5
Ex-14,S,S0,2
Ex-22,S,S0,1
Ex-30,S,S0,1
Ex-34,S,S0,1
Ex-37,S,S0,4
Ex-46,S,S0,12
Ex-53,S,S0,6
Ex-58,S,S0,2
Ex-65,S,S0,1
Ex-04,S,S1,12
Ex-16,S,S1,1
Ex-18,S,S1,Ð
Ex-23,S,S1,1
Ex-25,S,S1,8
Ex-35,S,S1,1
Ex-38,S,S1,2
Ex-45,S,S1,Ð
Ex-49,S,S1,Ð
Ex-55,S,S1,Ð
Ex-64,S,S1,4
Ex-05,S,S6,Ð
Ex-12,S,S6,1
Ex-13,S,S6,3
Ex-24,S,S6,2
Ex-28,S,S6,Ð
Ex-32,S,S6,Ð
Ex-42,S,S6,2
Ex-43,S,S6,Ð
Ex-50,S,S6,Ð
Ex-59,S,S6,2
Ex-66,S,S6,Ð
