colony,treatment,position,entrance,treatment_phase,workers,soldiers,eggs,larvae,pupae
C10-01,no_threat,6,o_s,1_s,y,5,y,y,y
C10-01,no_threat,11,o_s,1_s,y,4,y,y,y
C10-01,no_threat,16,o_s,1_s,y,6,y,y,y
C10-01,no_threat,1,l,2_a,0,0,0,0,0
C10-01,no_threat,2,l,2_a,2,0,0,0,0
C10-01,no_threat,4,l,2_a,21,3,2,14,0
C10-01,no_threat,9,l,2_a,3,1,0,0,0
C10-01,no_threat,6,o_s,2_a,14,4,8,17,11
C10-01,no_threat,11,o_s,2_a,19,5,5,9,5
C10-01,no_threat,16,o_s,2_a,17,5,25,9,2
C10-01,no_threat,8,s,2_a,0,1,0,0,0
C10-01,no_threat,12,s,2_a,3,1,0,0,0
C10-01,no_threat,14,s,2_a,3,0,0,0,0
C10-01,no_threat,15,s,2_a,3,0,0,0,0
C10-01,threat,5,o_s,1_s,y,5,y,y,y
C10-01,threat,6,o_s,1_s,y,6,y,y,y
C10-01,threat,14,o_s,1_s,y,7,y,y,y
C10-01,threat,8,l,2_a,4,0,0,0,0
C10-01,threat,12,l,2_a,1,0,0,0,0
C10-01,threat,13,l,2_a,0,0,0,0,0
C10-01,threat,15,l,2_a,0,1,0,0,0
C10-01,threat,5,o_s,2_a,28,4,6,18,13
C10-01,threat,6,o_s,2_a,15,6,3,12,3
C10-01,threat,14,o_s,2_a,12,7,1,5,2
C10-01,threat,2,s,2_a,9,3,0,0,0
C10-01,threat,7,s,2_a,6,0,0,0,0
C10-01,threat,10,s,2_a,6,1,0,0,0
C10-01,threat,11,s,2_a,0,0,0,0,0
C10-03,no_threat,3,o_s,1_s,y,6,y,y,y
C10-03,no_threat,4,o_s,1_s,y,2,y,y,y
C10-03,no_threat,8,o_s,1_s,y,3,y,y,y
C10-03,no_threat,10,o_s,1_s,y,2,y,y,y
C10-03,no_threat,16,o_s,1_s,y,5,y,y,y
C10-03,no_threat,5,l,2_a,18,2,0,1,0
C10-03,no_threat,9,l,2_a,6,2,1,0,0
C10-03,no_threat,12,l,2_a,13,1,0,2,0
C10-03,no_threat,13,l,2_a,7,1,1,0,0
C10-03,no_threat,3,o_s,2_a,15,2,3,13,0
C10-03,no_threat,4,o_s,2_a,9,4,1,2,0
C10-03,no_threat,8,o_s,2_a,11,1,1,19,2
